dataset,split,input_path,target_path,category,illumination_level
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00001.png,data/raw/lol_v2/real_captured/train/normal/normal00001.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00002.png,data/raw/lol_v2/real_captured/train/normal/normal00002.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00003.png,data/raw/lol_v2/real_captured/train/normal/normal00003.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00004.png,data/raw/lol_v2/real_captured/train/normal/normal00004.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00005.png,data/raw/lol_v2/real_captured/train/normal/normal00005.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00006.png,data/raw/lol_v2/real_captured/train/normal/normal00006.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00008.png,data/raw/lol_v2/real_captured/train/normal/normal00008.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00009.png,data/raw/lol_v2/real_captured/train/normal/normal00009.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00010.png,data/raw/lol_v2/real_captured/train/normal/normal00010.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00011.png,data/raw/lol_v2/real_captured/train/normal/normal00011.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00012.png,data/raw/lol_v2/real_captured/train/normal/normal00012.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00013.png,data/raw/lol_v2/real_captured/train/normal/normal00013.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00014.png,data/raw/lol_v2/real_captured/train/normal/normal00014.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00015.png,data/raw/lol_v2/real_captured/train/normal/normal00015.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00016.png,data/raw/lol_v2/real_captured/train/normal/normal00016.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00017.png,data/raw/lol_v2/real_captured/train/normal/normal00017.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00018.png,data/raw/lol_v2/real_captured/train/normal/normal00018.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00019.png,data/raw/lol_v2/real_captured/train/normal/normal00019.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00020.png,data/raw/lol_v2/real_captured/train/normal/normal00020.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00021.png,data/raw/lol_v2/real_captured/train/normal/normal00021.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00022.png,data/raw/lol_v2/real_captured/train/normal/normal00022.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00023.png,data/raw/lol_v2/real_captured/train/normal/normal00023.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00024.png,data/raw/lol_v2/real_captured/train/normal/normal00024.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00025.png,data/raw/lol_v2/real_captured/train/normal/normal00025.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00027.png,data/raw/lol_v2/real_captured/train/normal/normal00027.png,,
lol_v2_real,train,data/raw/lol_v2/real_captured/train/low/low00029.png,data/raw/lol_v2/real_captured/train/normal/normal00029.png,,
