dataset,split,input_path,target_path,category,illumination_level
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r000da54ft.png,data/raw/lol_v2/synthetic/train/normal/r000da54ft.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r001d260dt.png,data/raw/lol_v2/synthetic/train/normal/r001d260dt.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r002fc3e2t.png,data/raw/lol_v2/synthetic/train/normal/r002fc3e2t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00444b95t.png,data/raw/lol_v2/synthetic/train/normal/r00444b95t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r005f3e70t.png,data/raw/lol_v2/synthetic/train/normal/r005f3e70t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00617aa1t.png,data/raw/lol_v2/synthetic/train/normal/r00617aa1t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r006b0e4bt.png,data/raw/lol_v2/synthetic/train/normal/r006b0e4bt.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r006fcc20t.png,data/raw/lol_v2/synthetic/train/normal/r006fcc20t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r007f5116t.png,data/raw/lol_v2/synthetic/train/normal/r007f5116t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r008a2095t.png,data/raw/lol_v2/synthetic/train/normal/r008a2095t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r008ed083t.png,data/raw/lol_v2/synthetic/train/normal/r008ed083t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00a940e1t.png,data/raw/lol_v2/synthetic/train/normal/r00a940e1t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00b3931bt.png,data/raw/lol_v2/synthetic/train/normal/r00b3931bt.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00b8d4a2t.png,data/raw/lol_v2/synthetic/train/normal/r00b8d4a2t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00c0995ft.png,data/raw/lol_v2/synthetic/train/normal/r00c0995ft.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00c4a543t.png,data/raw/lol_v2/synthetic/train/normal/r00c4a543t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00d161b7t.png,data/raw/lol_v2/synthetic/train/normal/r00d161b7t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r00de2590t.png,data/raw/lol_v2/synthetic/train/normal/r00de2590t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r0108c383t.png,data/raw/lol_v2/synthetic/train/normal/r0108c383t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r010cb248t.png,data/raw/lol_v2/synthetic/train/normal/r010cb248t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r01291f20t.png,data/raw/lol_v2/synthetic/train/normal/r01291f20t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r01292fd8t.png,data/raw/lol_v2/synthetic/train/normal/r01292fd8t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r012b0f30t.png,data/raw/lol_v2/synthetic/train/normal/r012b0f30t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r012d1dbet.png,data/raw/lol_v2/synthetic/train/normal/r012d1dbet.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r0149a21ct.png,data/raw/lol_v2/synthetic/train/normal/r0149a21ct.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r015b453ft.png,data/raw/lol_v2/synthetic/train/normal/r015b453ft.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r0176fbcat.png,data/raw/lol_v2/synthetic/train/normal/r0176fbcat.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r018ba134t.png,data/raw/lol_v2/synthetic/train/normal/r018ba134t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r0191aaf4t.png,data/raw/lol_v2/synthetic/train/normal/r0191aaf4t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r019eb1cbt.png,data/raw/lol_v2/synthetic/train/normal/r019eb1cbt.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r01a31693t.png,data/raw/lol_v2/synthetic/train/normal/r01a31693t.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r01a5f38at.png,data/raw/lol_v2/synthetic/train/normal/r01a5f38at.png,,
lol_v2_synthetic,train,data/raw/lol_v2/synthetic/train/low/r01b3f004t.png,data/raw/lol_v2/synthetic/train/normal/r01b3f004t.png,,
