dataset,split,input_path,target_path,category,illumination_level
mill_s,test,data/preprocessed/mill_s/test/input/test13-1.png,data/preprocessed/mill_s/test/gt/test13.png,,1
mill_s,test,data/preprocessed/mill_s/test/input/test13-10.png,data/preprocessed/mill_s/test/gt/test13.png,,10
mill_s,test,data/preprocessed/mill_s/test/input/test13-2.png,data/preprocessed/mill_s/test/gt/test13.png,,2
mill_s,test,data/preprocessed/mill_s/test/input/test13-3.png,data/preprocessed/mill_s/test/gt/test13.png,,3
mill_s,test,data/preprocessed/mill_s/test/input/test13-4.png,data/preprocessed/mill_s/test/gt/test13.png,,4
mill_s,test,data/preprocessed/mill_s/test/input/test13-5.png,data/preprocessed/mill_s/test/gt/test13.png,,5
mill_s,test,data/preprocessed/mill_s/test/input/test13-6.png,data/preprocessed/mill_s/test/gt/test13.png,,6
mill_s,test,data/preprocessed/mill_s/test/input/test13-7.png,data/preprocessed/mill_s/test/gt/test13.png,,7
mill_s,test,data/preprocessed/mill_s/test/input/test13-8.png,data/preprocessed/mill_s/test/gt/test13.png,,8
mill_s,test,data/preprocessed/mill_s/test/input/test14-1.png,data/preprocessed/mill_s/test/gt/test14.png,,1
mill_s,test,data/preprocessed/mill_s/test/input/test14-10.png,data/preprocessed/mill_s/test/gt/test14.png,,10
mill_s,test,data/preprocessed/mill_s/test/input/test14-2.png,data/preprocessed/mill_s/test/gt/test14.png,,2
mill_s,test,data/preprocessed/mill_s/test/input/test14-3.png,data/preprocessed/mill_s/test/gt/test14.png,,3
mill_s,test,data/preprocessed/mill_s/test/input/test14-4.png,data/preprocessed/mill_s/test/gt/test14.png,,4
mill_s,test,data/preprocessed/mill_s/test/input/test14-5.png,data/preprocessed/mill_s/test/gt/test14.png,,5
mill_s,test,data/preprocessed/mill_s/test/input/test14-6.png,data/preprocessed/mill_s/test/gt/test14.png,,6
mill_s,test,data/preprocessed/mill_s/test/input/test14-7.png,data/preprocessed/mill_s/test/gt/test14.png,,7
mill_s,test,data/preprocessed/mill_s/test/input/test14-8.png,data/preprocessed/mill_s/test/gt/test14.png,,8
mill_s,test,data/preprocessed/mill_s/test/input/test14-9.png,data/preprocessed/mill_s/test/gt/test14.png,,9
