rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
1,1927075,150,0.8718603253364563,22.238561630249023,0.07177335023880005,0.09323837975229042,b9136dd1d4a8,fac_ecl_grid_seed_0_screening_part_19,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.1, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.1, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0005,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
2,1927075,126,0.8704067468643188,22.43161964416504,0.06950265914201736,0.08650513792383498,bcd04f2d83e7,fac_ecl_grid_seed_0_screening_part_08,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.1, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0002,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
3,1927075,123,0.8693159222602844,22.039146423339844,0.07467994838953018,0.09290327930795973,c368d8c386cb,fac_ecl_grid_seed_0_screening_part_16,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.2, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
4,1927075,116,0.8689536452293396,21.94849395751953,0.0753002017736435,0.09086494709270587,403e19b72d95,fac_ecl_grid_seed_0_screening_part_02,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.05, ""consistency_weight"": 0.1, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
5,1927075,123,0.8685231804847717,21.82352066040039,0.07646476477384567,0.09458884121715158,bd9211592f4d,fac_ecl_grid_seed_0_screening_part_15,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.05, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
6,1927075,146,0.8677431344985962,22.01803970336914,0.074898362159729,0.09689969753009686,07b3df055de6,fac_ecl_grid_seed_0_screening_part_17,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.1, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
7,1927075,123,0.8675433993339539,22.00421905517578,0.07417772710323334,0.09363384177719337,24c2cb4a2339,fac_ecl_grid_seed_0_screening_part_03,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.1, ""high_frequency_weight"": 0.05, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
8,1927075,113,0.8673818111419678,21.759035110473633,0.07560992240905762,0.09412650267283122,00b42d9a5537,fac_ecl_grid_seed_0_screening_part_16,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.1, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0002,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
9,1927075,121,0.8672158122062683,21.813886642456055,0.07595836371183395,0.09176649898290634,ae9eb8113b01,fac_ecl_grid_seed_0_screening_part_01,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.05, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
10,1927075,132,0.867171049118042,21.95026397705078,0.07437344640493393,0.10349635024001633,0a27e1b97419,fac_ecl_grid_seed_0_screening_part_17,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.2, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0002,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
11,1927075,121,0.8671611547470093,22.087997436523438,0.07526974380016327,0.09559590779784796,2b7d7983c37c,fac_ecl_grid_seed_0_screening_part_10,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.1, ""high_frequency_weight"": 0.1, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
12,1927075,121,0.8670662045478821,21.90289306640625,0.07577184587717056,0.09607472670251045,5040bae84d4e,fac_ecl_grid_seed_0_screening_part_12,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.1, ""high_frequency_weight"": 0.1, ""consistency_weight"": 0.1, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
13,1927075,130,0.8669215440750122,21.81187629699707,0.07538676261901855,0.1045817138924115,d3eab4c9ee9f,fac_ecl_grid_seed_0_screening_part_20,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.2, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.2, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0005,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
14,1927075,102,0.8666874170303345,21.754844665527344,0.07601147890090942,0.0945907459742781,345f9109db87,fac_ecl_grid_seed_0_screening_part_15,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.2, ""consistency_weight"": 0.02, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0003,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
15,1927075,132,0.866489052772522,21.957420349121094,0.0748804584145546,0.0918815107881159,88102ae0efcf,fac_ecl_grid_seed_0_screening_part_08,0,fac_ecl,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""loss"": {""low_frequency_weight"": 0.05, ""high_frequency_weight"": 0.1, ""consistency_weight"": 0.05, ""frequency_kernel_size"": 15, ""frequency_sigma"": 3.0, ""consistency"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}}}",0.0002,0.0001,fac_ecl,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
