rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
1,7763395,163,0.8689560890197754,21.890968322753906,0.07593612372875214,0.08695767949456754,403ef5813446,illumination_guided_unet_grid_seed_0_screening_part_20,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
2,7763395,120,0.8656377792358398,21.95355224609375,0.07578256726264954,0.08749848755373471,38c1487128ca,illumination_guided_unet_grid_seed_0_screening_part_20,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
3,1927363,115,0.8656113147735596,21.761592864990234,0.076673224568367,0.08821632864250653,dd999be1c481,illumination_guided_unet_grid_seed_0_screening_part_13,0,illumination_guided_unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
4,1927363,98,0.8641723990440369,21.69756317138672,0.07798095047473907,0.08955030683158101,fd63033c03c9,illumination_guided_unet_grid_seed_0_screening_part_13,0,illumination_guided_unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
5,1927363,99,0.8635690808296204,21.638551712036133,0.0779629498720169,0.08965655124705771,1954110a8dd0,illumination_guided_unet_grid_seed_0_screening_part_13,0,illumination_guided_unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
6,7763395,94,0.8635326623916626,21.884021759033203,0.0757286474108696,0.08787638769633528,abc3f0f37799,illumination_guided_unet_grid_seed_0_screening_part_21,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
7,1927363,102,0.8632249236106873,21.563520431518555,0.07841603457927704,0.0900878335038821,c449d7223a9b,illumination_guided_unet_grid_seed_0_screening_part_12,0,illumination_guided_unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
8,7763395,79,0.8627841472625732,21.887243270874023,0.07588048279285431,0.08814757814009984,352b9bdb8190,illumination_guided_unet_grid_seed_0_screening_part_21,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
9,7763395,98,0.8623015880584717,21.747642517089844,0.07588968425989151,0.0882514457123867,06795215b87f,illumination_guided_unet_grid_seed_0_screening_part_21,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
10,1927363,127,0.8618870973587036,21.386573791503906,0.07859810441732407,0.09050106343583784,5b78e521478d,illumination_guided_unet_grid_seed_0_screening_part_12,0,illumination_guided_unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
