rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
1,7763107,133,0.8651118874549866,21.819826126098633,0.07649669796228409,0.08817497360101645,d611afe91771,unet_grid_seed_0_screening_part_20,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
2,7849667,143,0.8649198412895203,21.790193557739258,0.07679226249456406,0.08844982973043469,c9563ea9f5cc,unet_grid_seed_0_screening_part_17,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
3,1927075,81,0.8644942045211792,21.698265075683594,0.07756809145212173,0.08915563305650932,5ee975693d05,unet_grid_seed_0_screening_part_19,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
4,7763107,105,0.8641006946563721,21.731016159057617,0.07690264284610748,0.0887019753024198,09adac82ea72,unet_grid_seed_0_screening_part_19,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
5,1927075,98,0.8633745908737183,21.47628402709961,0.07826932519674301,0.0899405340137689,550d56345f66,unet_grid_seed_0_screening_part_20,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
6,1948355,91,0.8631280064582825,21.877355575561523,0.07486271113157272,0.08726456145877423,5fbcf21c4adf,unet_grid_seed_0_screening_part_16,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,bilinear,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
7,1948355,112,0.8630034923553467,21.900522232055664,0.0768795907497406,0.0889029833285705,d6f6f790b45a,unet_grid_seed_0_screening_part_16,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,bilinear,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
8,1948355,82,0.8604307174682617,21.5614013671875,0.0776405781507492,0.09002631125242813,b19e5416b4c0,unet_grid_seed_0_screening_part_17,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,bilinear,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
9,7849667,83,0.8603750467300415,21.547204971313477,0.0781870111823082,0.09047461203906847,c44dae67efc2,unet_grid_seed_0_screening_part_17,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
10,1948355,66,0.8595128655433655,21.602659225463867,0.07808306813240051,0.09056386751109276,b8b5739be64e,unet_grid_seed_0_screening_part_18,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,bilinear,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
